what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1474331110014
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1474331110014
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1474331110014
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1474331110014
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1474331110030
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1474331110030
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1474331110030
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1474331110030
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1474331110030
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1474331110030
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1474331110030
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1474331110030
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1474331110030
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1474331110030
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1474331110030
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1474331110030
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1474331110030
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1474331110030
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1474331110030
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1474331110030
os,sysinfo,,,"win32",1474331110030
arch,sysinfo,,,"x86_64",1474331110030
ws,sysinfo,,,"win32",1474331110030
locale,sysinfo,,,"zh_CN",1474331110030
processors,sysinfo,,,"4",1474331110030
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1474331110030
java.runtime.version,sysinfo,,,"1.8.0_91-b14",1474331110030
java.specification.name,sysinfo,,,"Java Platform API Specification",1474331110030
java.specification.vendor,sysinfo,,,"Oracle Corporation",1474331110030
java.specification.version,sysinfo,,,"1.8",1474331110030
java.vendor,sysinfo,,,"Oracle Corporation",1474331110030
java.version,sysinfo,,,"1.8.0_91",1474331110030
java.vm.info,sysinfo,,,"mixed mode",1474331110030
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1474331110030
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1474331110030
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1474331110030
java.vm.specification.version,sysinfo,,,"1.8",1474331110030
java.vm.vendor,sysinfo,,,"Oracle Corporation",1474331110030
java.vm.version,sysinfo,,,"25.91-b14",1474331110030
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1474331110045
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1474331110045
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1474331110168
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1474331110183
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1474331110268
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1474331110331
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1474331110346
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1474331118093
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474331118394
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474331120694
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1474331123397
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1474331123513
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1474331123513
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474331123798
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474331123798
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474331127465
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1474331127534
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1474331127597
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1474331127603
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1474331127619
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1474331127634
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1474331128067
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1474331128067
